id,person_id,company_id,job_title,is_current_job,company_email
1,81,24,Research Assistant II,true,lervin0@dyndns.org
2,43,9,Director of Sales,false,
3,48,25,Biostatistician IV,false,nkeat2@sbwire.com
4,6,8,Programmer I,false,
5,49,2,Analyst Programmer,true,lfucher4@bluehost.com
6,21,6,VP Marketing,false,pcurgenuer5@howstuffworks.com
7,40,24,Technical Writer,true,gellicott6@msu.edu
8,96,28,Media Manager I,false,mslafford7@aboutads.info
9,68,16,Sales Representative,true,iparlor8@barnesandnoble.com
10,61,29,Human Resources Manager,true,
11,44,30,VP Product Management,true,dstquintina@comsenz.com
12,35,21,Marketing Manager,false,hhurticb@fotki.com
13,25,22,Recruiting Manager,true,hbalmac@latimes.com
14,23,9,Financial Advisor,true,afaucettd@eepurl.com
15,11,1,Environmental Tech,true,beliasene@de.vu
16,98,18,VP Marketing,false,jhaylettf@parallels.com
17,92,5,Senior Cost Accountant,false,mfarlamg@reference.com
18,89,21,Web Designer III,true,eshovellh@dell.com
19,26,22,Research Nurse,false,
20,31,23,Health Coach IV,true,agrealishj@google.ca
21,56,21,Speech Pathologist,true,kcunniffek@answers.com
22,35,29,Community Outreach Specialist,false,geriel@wired.com
23,25,5,Software Consultant,true,cilievem@usatoday.com
24,37,24,Computer Systems Analyst II,true,srodbournen@bizjournals.com
25,48,28,Senior Financial Analyst,true,mkohtlero@moonfruit.com
26,99,3,Marketing Assistant,true,sbugdellp@artisteer.com
27,63,5,Automation Specialist I,false,jwetherburnq@ox.ac.uk
28,82,19,Physical Therapy Assistant,true,hsmewingsr@yolasite.com
29,81,7,Staff Accountant I,false,
30,33,17,Marketing Assistant,false,fgivet@smh.com.au
31,30,11,Engineer II,true,mdemougeotu@delicious.com
32,95,9,VP Marketing,true,ckabschv@hibu.com
33,43,4,Media Manager II,false,ailymanovw@wunderground.com
34,27,25,Community Outreach Specialist,false,chischkex@earthlink.net
35,46,15,Help Desk Operator,true,pmayberyy@eepurl.com
36,10,10,Data Coordiator,true,mwilkissonz@fema.gov
37,81,19,Statistician IV,false,ndeavenell10@delicious.com
